code,high_diff,high_diff_ratio,low_diff,low_diff_ratio
1815.0,8.0,0.431266846361186,7.0,0.3798155181768855
1824.0,9.0,1.0044642857142858,1.0,0.11248593925759282
1848.0,19.0,3.177257525083612,2.0,0.33557046979865773
1952.0,4.0,0.15558148580318942,41.0,1.6186340307935254
1980.0,15.0,0.5393743257820928,24.0,0.8714596949891068
2174.0,3.0,0.21505376344086022,0.0,0.0
2502.0,14.0,0.25594149908592323,11.0,0.2032895952688967
2540.0,1.0,0.05279831045406547,4.0,0.21265284423179162
3069.0,8.0,1.9900497512437811,1.0,0.2506265664160401
3299.0,0.0,0.0,4.0,0.8247422680412372
3648.0,6.0,0.6309148264984227,15.0,1.5873015873015872
3663.0,10.0,1.1001100110011002,29.0,3.2474804031354982
3726.0,1.0,0.2008032128514056,1.0,0.20202020202020202
4047.0,3.0,0.27472527472527475,6.0,0.5560704355885079
4611.0,2.0,0.22650056625141565,8.0,0.91324200913242
4678.0,0.0,0.0,1.0,0.23148148148148145
4936.0,37.0,3.2062391681109186,11.0,0.9803921568627451
4998.0,2.0,0.1529051987767584,6.0,0.4611837048424289
5195.0,0.0,0.0,7.0,0.7231404958677686
5992.0,1.0,0.08635578583765112,6.0,0.529567519858782
6086.0,1.0,0.08176614881439084,2.0,0.1694915254237288
6262.0,6.0,1.2658227848101267,3.0,0.6479481641468683
6301.0,24.0,0.8739985433357611,7.0,0.2570694087403599
6317.0,22.0,1.3002364066193852,6.0,0.357355568790947
6327.0,3.0,0.5291005291005291,7.0,1.2544802867383513
6433.0,2.0,0.47393364928909953,5.0,1.201923076923077
6463.0,3.0,0.19169329073482427,3.0,0.1950585175552666
6569.0,11.0,1.478494623655914,5.0,0.6830601092896175
6662.0,46.0,17.692307692307693,0.0,0.0
6926.0,0.0,0.0,4.0,1.1019283746556474
6932.0,7.0,0.6616257088846881,21.0,2.0408163265306123
6996.0,16.0,1.4492753623188406,2.0,0.18433179723502305
7161.0,3.0,0.42674253200568996,6.0,0.8658008658008658
7250.0,5.0,0.4088307440719542,6.0,0.4975124378109453
7266.0,4.0,0.5486968449931412,2.0,0.27739251040221913
7283.0,5.0,0.5767012687427913,5.0,0.5875440658049353
7551.0,8.0,1.465201465201465,0.0,0.0
7607.0,0.0,0.0,27.0,1.0769844435580374
7739.0,18.0,1.0739856801909307,13.0,0.7807807807807807
7752.0,13.0,1.1393514460999123,5.0,0.4456327985739751
7819.0,2.0,0.46728971962616817,7.0,1.650943396226415
7851.0,8.0,2.909090909090909,1.0,0.3676470588235294
7855.0,7.0,0.7306889352818371,1.0,0.10515247108307045
7898.0,11.0,0.9499136442141624,8.0,0.7017543859649122
7943.0,5.0,0.15174506828528073,15.0,0.4658385093167702
7949.0,26.0,1.3006503251625814,9.0,0.45454545454545453
7951.0,30.0,0.4098360655737705,60.0,0.8298755186721992
7955.0,1.0,0.1652892561983471,12.0,2.013422818791946
8285.0,0.0,0.0,5.0,1.2886597938144329
8350.0,2.0,0.2257336343115124,1.0,0.11389521640091116
8596.0,0.0,0.0,1.0,0.16339869281045752
8869.0,2.0,0.3184713375796179,1.0,0.16233766233766234
9307.0,85.0,10.506798516687269,1.0,0.13297872340425532
9412.0,3.0,0.6818181818181818,4.0,0.9216589861751152
9414.0,13.0,1.141352063213345,4.0,0.3552397868561279
9422.0,2.0,0.12476606363069245,20.0,1.2586532410320956
9658.0,34.0,1.935116676152533,8.0,0.4632310364794441
9856.0,34.0,3.136531365313653,1.0,0.09389671361502347
9945.0,5.0,0.23020257826887663,13.0,0.6046511627906976
