code,high_diff,high_diff_ratio,low_diff,low_diff_ratio
1413.0,9.0,0.3800675675675676,25.0,1.0855405992184108
1515.0,20.0,0.29455081001472755,30.0,0.4518072289156626
1518.0,80.0,5.372733378106111,6.0,0.4123711340206186
1813.0,8.0,0.4407713498622589,14.0,0.7799442896935933
1815.0,8.0,0.431266846361186,7.0,0.3798155181768855
1824.0,9.0,1.0044642857142858,1.0,0.11248593925759282
1827.0,3.0,0.8174386920980926,4.0,1.098901098901099
1848.0,19.0,3.177257525083612,2.0,0.33557046979865773
1890.0,1.0,0.16778523489932887,1.0,0.17064846416382254
1928.0,6.0,0.24849865396562434,5.0,0.20981955518254303
1952.0,4.0,0.15558148580318942,41.0,1.6186340307935254
1980.0,15.0,0.5393743257820928,24.0,0.8714596949891068
2053.0,0.0,0.0,4.0,0.34843205574912894
2174.0,3.0,0.21505376344086022,0.0,0.0
2337.0,2.0,0.5420054200542005,2.0,0.5494505494505495
2342.0,22.0,3.642384105960265,5.0,0.8532423208191127
2502.0,14.0,0.25594149908592323,11.0,0.2032895952688967
2533.0,2.0,0.5089058524173028,3.0,0.7792207792207793
2540.0,1.0,0.05279831045406547,4.0,0.21265284423179162
2734.0,0.0,0.0,4.0,0.6153846153846154
2768.0,7.0,1.9390581717451523,0.0,0.0
2908.0,1.0,0.0511770726714432,2.0,0.1029336078229542
3069.0,8.0,1.9900497512437811,1.0,0.2506265664160401
3153.0,13.0,1.19815668202765,2.0,0.186219739292365
3276.0,2.0,0.16168148746968472,4.0,0.3294892915980231
3284.0,0.0,0.0,3.0,0.42016806722689076
3299.0,0.0,0.0,4.0,0.8247422680412372
3387.0,6.0,0.6263048016701461,0.0,0.0
3392.0,0.0,0.0,4.0,0.5943536404160475
3422.0,9.0,1.1029411764705883,0.0,0.0
3447.0,8.0,1.1004126547455295,1.0,0.1394700139470014
3553.0,2.0,0.2805049088359046,3.0,0.424929178470255
3648.0,6.0,0.6309148264984227,15.0,1.5873015873015872
3663.0,10.0,1.1001100110011002,29.0,3.2474804031354982
3726.0,1.0,0.2008032128514056,1.0,0.20202020202020202
4047.0,3.0,0.27472527472527475,6.0,0.5560704355885079
4061.0,15.0,0.36809815950920244,0.0,0.0
4064.0,3.0,0.2031144211238998,10.0,0.6863417982155113
4075.0,93.0,3.6384976525821595,28.0,1.1475409836065573
4205.0,4.0,0.24600246002460024,3.0,0.18785222291797118
4318.0,0.0,0.0,17.0,1.2022630834512023
4345.0,1.0,0.12150668286755771,0.0,0.0
4550.0,0.0,0.0,2.0,0.19685039370078738
4599.0,2.0,0.28653295128939826,0.0,0.0
4611.0,2.0,0.22650056625141565,8.0,0.91324200913242
4619.0,9.0,0.8310249307479225,0.0,0.0
4676.0,2.0,0.16299918500407498,10.0,0.8237232289950577
4678.0,0.0,0.0,1.0,0.23148148148148145
4813.0,0.0,0.0,12.0,1.1583011583011582
4887.0,40.0,0.7547169811320755,0.0,0.0
4936.0,37.0,3.2062391681109186,11.0,0.9803921568627451
4998.0,2.0,0.1529051987767584,6.0,0.4611837048424289
5195.0,0.0,0.0,7.0,0.7231404958677686
5262.0,6.0,0.7894736842105263,0.0,0.0
5288.0,3.0,0.5952380952380952,2.0,0.4016064257028112
5363.0,0.0,0.0,3.0,0.8823529411764706
5451.0,25.0,0.9720062208398134,8.0,0.3142183817753339
5563.0,1.0,0.30120481927710846,2.0,0.6153846153846154
5631.0,5.0,0.16611295681063123,17.0,0.5754908598510494
5809.0,4.0,0.7233273056057866,3.0,0.5484460694698354
5909.0,10.0,1.0810810810810811,1.0,0.10857763300760044
5959.0,3.0,0.4231311706629055,0.0,0.0
5970.0,18.0,1.1749347258485638,17.0,1.1162179908076166
5989.0,5.0,0.657030223390276,2.0,0.26666666666666666
5991.0,1.0,0.11904761904761905,3.0,0.3640776699029126
5992.0,1.0,0.08635578583765112,6.0,0.529567519858782
6086.0,1.0,0.08176614881439084,2.0,0.1694915254237288
6246.0,2.0,0.13937282229965156,12.0,0.8633093525179856
6262.0,6.0,1.2658227848101267,3.0,0.6479481641468683
6289.0,0.0,0.0,50.0,1.0080645161290323
6301.0,24.0,0.8739985433357611,7.0,0.2570694087403599
6317.0,22.0,1.3002364066193852,6.0,0.357355568790947
6327.0,3.0,0.5291005291005291,7.0,1.2544802867383513
6331.0,0.0,0.0,29.0,1.183673469387755
6357.0,10.0,1.1481056257175661,0.0,0.0
6366.0,2.0,0.5063291139240507,0.0,0.0
6433.0,2.0,0.47393364928909953,5.0,1.201923076923077
6463.0,3.0,0.19169329073482427,3.0,0.1950585175552666
6569.0,11.0,1.478494623655914,5.0,0.6830601092896175
6573.0,8.0,1.6194331983805668,0.0,0.0
6632.0,2.0,0.9259259259259258,1.0,0.4694835680751174
6662.0,46.0,17.692307692307693,0.0,0.0
6674.0,12.0,0.4533434076312807,12.0,0.45889101338432126
6676.0,20.0,0.398406374501992,50.0,1.0121457489878543
6724.0,9.0,0.38910505836575876,7.0,0.3076923076923077
6752.0,6.0,0.4169562195969423,4.0,0.28169014084507044
6923.0,9.0,0.3032345013477089,6.0,0.205761316872428
6926.0,0.0,0.0,4.0,1.1019283746556474
6932.0,7.0,0.6616257088846881,21.0,2.0408163265306123
6952.0,25.0,1.2906556530717606,8.0,0.42462845010615713
6995.0,0.0,0.0,4.0,0.24125452352231602
6996.0,16.0,1.4492753623188406,2.0,0.18433179723502305
7161.0,3.0,0.42674253200568996,6.0,0.8658008658008658
7205.0,22.0,2.091254752851711,4.0,0.3861003861003861
