code,high_diff,high_diff_ratio,low_diff,low_diff_ratio
3814.0,8.0,1.1283497884344147,5.0,0.7352941176470588
3845.0,0.0,0.0,1.0,0.684931506849315
3892.0,0.0,0.0,1.0,0.10964912280701754
3946.0,6.0,0.30226700251889166,7.0,0.35787321063394684
3948.0,5.0,0.9615384615384616,5.0,0.9900990099009901
3986.0,3.0,0.22388059701492538,30.0,2.311248073959938
4231.0,4.0,0.91324200913242,2.0,0.46728971962616817
4243.0,0.0,0.0,5.0,0.5882352941176471
4492.0,14.0,1.2444444444444445,3.0,0.28169014084507044
4495.0,155.0,3.4216335540838854,25.0,0.5827505827505828
4623.0,2.0,0.10712372790573112,1.0,0.053763440860215055
4645.0,5.0,1.3227513227513228,0.0,0.0
4685.0,1.0,0.04081632653061225,25.0,1.0313531353135312
4690.0,4.0,0.32180209171359614,12.0,0.9803921568627451
4761.0,0.0,0.0,3.0,0.3694581280788177
4840.0,1.0,0.2985074626865672,0.0,0.0
5019.0,2.0,0.06724949562878278,26.0,0.8931638612160768
5401.0,3.5,0.1634368433341116,17.5,0.8373205741626795
5458.0,0.0,0.0,11.0,1.5384615384615385
5660.0,2.0,0.21344717182497333,1.0,0.10752688172043011
5697.0,10.0,1.8484288354898337,6.0,1.183431952662722
5729.0,25.0,0.6587615283267457,0.0,0.0
5803.0,1.0,0.14513788098693758,0.0,0.0
5905.0,2.0,0.16299918500407498,12.0,0.9991673605328892
5966.0,3.0,0.15,21.0,1.0627530364372468
5974.0,1.0,0.11947431302270012,5.0,0.6060606060606061
5982.0,4.0,0.18441678192715535,9.0,0.4235294117647058
5994.0,13.0,0.7034632034632035,28.0,1.553829078801332
6048.0,2.0,0.7874015748031495,1.0,0.4098360655737705
6085.0,40.0,3.669724770642202,20.0,1.9417475728155338
6155.0,10.0,1.2953367875647668,9.0,1.2
6176.0,0.0,0.0,2.0,0.4434589800443459
6233.0,2.0,0.31746031746031744,2.0,0.32679738562091504
6279.0,12.0,1.2282497441146365,1.0,0.10471204188481677
6299.0,5.0,0.1492537313432836,5.0,0.15220700152207
6323.0,80.0,0.8869179600886918,20.0,0.22779043280182232
6360.0,14.0,0.8018327605956471,27.0,1.5835777126099706
6381.0,2.0,0.20597322348094746,2.0,0.2098635886673662
6402.0,3.0,0.22796352583586624,3.0,0.23023791250959325
6479.0,10.0,0.3294892915980231,8.0,0.2700877785280216
6537.0,3.0,0.5319148936170213,0.0,0.0
6568.0,0.0,0.0,7.0,0.5862646566164154
6612.0,40.0,0.6700167504187605,10.0,0.1718213058419244
6633.0,5.0,1.4124293785310735,4.0,1.1730205278592376
6635.0,1.0,0.16835016835016833,2.0,0.3454231433506045
6731.0,0.0,0.0,1.0,5.555555555555555
6810.0,22.0,1.574803149606299,10.0,0.7407407407407408
6836.0,1.0,0.0794912559618442,13.0,1.0526315789473684
6857.0,60.0,0.5277044854881267,90.0,0.8130081300813009
6863.0,8.0,0.8629989212513484,8.0,0.8898776418242491
7050.0,35.0,1.03397341211226,75.0,2.454991816693944
7058.0,10.0,0.31545741324921134,55.0,1.7973856209150325
7150.0,0.0,0.0,1.0,0.16501650165016502
7181.0,5.0,0.23730422401518747,13.0,0.6295399515738499
7208.0,2.0,0.2621231979030144,2.0,0.2652519893899204
7213.0,1.0,0.16583747927031509,3.0,0.5059021922428331
7238.0,0.0,0.0,1.0,0.5154639175257731
7247.0,1.0,0.29940119760479045,1.0,0.3058103975535168
7284.0,0.0,0.0,3.0,0.2884615384615385
7299.0,20.0,0.5128205128205128,35.0,0.9320905459387484
7414.0,11.0,0.616937745372967,5.0,0.28653295128939826
7446.0,0.0,0.0,20.0,0.5509641873278237
7510.0,2.0,0.11641443538998836,3.0,0.1767825574543312
7524.0,1.0,0.2012072434607646,3.0,0.6147540983606558
7670.0,3.0,0.5025125628140703,2.0,0.3389830508474576
7719.0,3.0,0.9036144578313252,16.0,5.2805280528052805
7727.0,0.0,0.0,1.0,0.37735849056603776
7758.0,4.0,0.38204393505253104,7.0,0.682261208576998
7815.0,1.0,0.19193857965451055,0.0,0.0
7887.0,10.0,0.17921146953405018,20.0,0.3629764065335753
7939.0,2.0,0.4484304932735426,3.0,0.6944444444444444
7953.0,2.0,0.49261083743842365,1.0,0.2506265664160401
7963.0,6.0,0.31965903036760784,8.0,0.4321988114532685
7980.0,0.0,0.0,1.0,0.11037527593818984
7992.0,1.0,0.5555555555555556,0.0,0.0
8025.0,1.0,0.0702247191011236,1.0,0.07102272727272728
8040.0,9.0,0.911854103343465,27.0,2.863202545068929
8115.0,2.0,0.3787878787878788,12.0,2.3391812865497075
8147.0,31.0,3.0097087378640777,1.0,0.10050251256281408
8410.0,0.0,0.0,1.0,0.39370078740157477
8889.0,4.0,0.6920415224913495,0.0,0.0
8892.0,4.0,0.5006257822277848,3.0,0.38167938931297707
8904.0,1.0,0.11148272017837235,1.0,0.1128668171557562
8945.0,5.0,0.48543689320388345,0.0,0.0
9034.0,0.0,0.0,3.0,0.26666666666666666
9060.0,5.0,0.1434720229555237,50.0,1.4577259475218658
9083.0,50.0,1.5151515151515151,5.0,0.15479876160990713
9173.0,0.0,0.0,8.0,0.34438226431338786
9264.0,0.0,0.0,47.0,2.0408163265306123
9644.0,1.0,0.06172839506172839,20.0,1.2626262626262625
9701.0,0.0,0.0,10.0,0.33167495854063017
9787.0,0.0,0.0,5.0,0.1375515818431912
9816.0,1.0,0.3861003861003861,1.0,0.3968253968253968
9867.0,100.0,1.680672268907563,70.0,1.2131715771230502
9993.0,0.0,0.0,11.0,0.6329113924050633
